@RELATION UP_DOWN
@ATTRIBUTE  class {UP,DOWN}
@ATTRIBUTE 0.0 numeric
@ATTRIBUTE 8.47457627119 numeric
@ATTRIBUTE 16.9491525424 numeric
@ATTRIBUTE 25.4237288136 numeric
@ATTRIBUTE 33.8983050847 numeric
@ATTRIBUTE 42.3728813559 numeric
@ATTRIBUTE 50.8474576271 numeric
@ATTRIBUTE 59.3220338983 numeric
@ATTRIBUTE 67.7966101695 numeric
@ATTRIBUTE 76.2711864407 numeric
@ATTRIBUTE 84.7457627119 numeric
@ATTRIBUTE 93.2203389831 numeric
@ATTRIBUTE 101.694915254 numeric
@ATTRIBUTE 110.169491525 numeric
@ATTRIBUTE 118.644067797 numeric
@ATTRIBUTE 127.118644068 numeric
@ATTRIBUTE 135.593220339 numeric
@ATTRIBUTE 144.06779661 numeric
@ATTRIBUTE 152.542372881 numeric
@ATTRIBUTE 161.016949153 numeric
@ATTRIBUTE 169.491525424 numeric
@ATTRIBUTE 177.966101695 numeric
@ATTRIBUTE 186.440677966 numeric
@ATTRIBUTE 194.915254237 numeric
@ATTRIBUTE 203.389830508 numeric
@ATTRIBUTE 211.86440678 numeric
@ATTRIBUTE 220.338983051 numeric
@ATTRIBUTE 228.813559322 numeric
@ATTRIBUTE 237.288135593 numeric
@ATTRIBUTE 245.762711864 numeric
@ATTRIBUTE 254.237288136 numeric
@ATTRIBUTE 262.711864407 numeric
@ATTRIBUTE 271.186440678 numeric
@ATTRIBUTE 279.661016949 numeric
@ATTRIBUTE 288.13559322 numeric
@ATTRIBUTE 296.610169492 numeric
@ATTRIBUTE 305.084745763 numeric
@ATTRIBUTE 313.559322034 numeric
@ATTRIBUTE 322.033898305 numeric
@ATTRIBUTE 330.508474576 numeric
@ATTRIBUTE 338.983050847 numeric
@ATTRIBUTE 347.457627119 numeric
@ATTRIBUTE 355.93220339 numeric
@ATTRIBUTE 364.406779661 numeric
@ATTRIBUTE 372.881355932 numeric
@ATTRIBUTE 381.355932203 numeric
@ATTRIBUTE 389.830508475 numeric
@ATTRIBUTE 398.305084746 numeric
@ATTRIBUTE 406.779661017 numeric
@ATTRIBUTE 415.254237288 numeric
@ATTRIBUTE 423.728813559 numeric
@ATTRIBUTE 432.203389831 numeric
@ATTRIBUTE 440.677966102 numeric
@ATTRIBUTE 449.152542373 numeric
@ATTRIBUTE 457.627118644 numeric
@ATTRIBUTE 466.101694915 numeric
@ATTRIBUTE 474.576271186 numeric
@ATTRIBUTE 483.050847458 numeric
@ATTRIBUTE 491.525423729 numeric
@DATA
UP ,    65.059,    53.528,    31.777,    13.056,     4.931,     1.001,     1.407,     2.744,     4.081,     3.312,     1.879,     1.663,     0.692,     0.396,     0.672,     1.420,     1.136,     0.828,     0.402,     0.235,     0.321,     0.149,     0.437,     0.319,     0.026,     0.412,     0.105,     0.069,     0.301,     0.241,     0.258,     0.184,     0.309,     0.215,     0.190,     0.206,     0.298,     0.092,     0.182,     0.288,     0.122,     0.092,     0.403,     0.536,     0.169,     0.122,     0.318,     0.146,     0.258,     0.176,     0.183,     0.086,     0.057,     0.315,     0.311,     0.254,     0.232,     0.294,     0.295
DOWN ,    70.222,    61.495,    40.723,    23.001,    12.295,     6.334,     3.333,     2.102,     1.642,     1.879,     1.621,     0.912,     0.128,     0.256,     0.621,     0.935,     0.827,     0.449,     0.259,     0.273,     0.281,     0.326,     0.250,     0.439,     0.377,     0.176,     0.387,     0.149,     0.276,     0.346,     0.320,     0.171,     0.119,     0.209,     0.282,     0.194,     0.207,     0.205,     0.248,     0.174,     0.271,     0.291,     0.253,     0.230,     0.288,     0.142,     0.096,     0.207,     0.300,     0.265,     0.336,     0.369,     0.221,     0.315,     0.352,     0.338,     0.273,     0.232,     0.254
UP ,    53.515,    44.063,    29.476,    16.698,     7.906,     2.976,     1.812,     2.298,     2.229,     2.351,     2.218,     1.370,     1.238,     0.755,     0.612,     0.927,     0.809,     0.968,     0.662,     0.206,     0.020,     0.190,     0.210,     0.366,     0.512,     0.164,     0.412,     0.224,     0.170,     0.144,     0.126,     0.110,     0.128,     0.155,     0.195,     0.151,     0.103,     0.241,     0.181,     0.255,     0.187,     0.189,     0.088,     0.069,     0.140,     0.080,     0.072,     0.103,     0.093,     0.265,     0.229,     0.031,     0.176,     0.316,     0.345,     0.291,     0.102,     0.045,     0.044
DOWN ,    67.416,    58.843,    37.205,    20.520,    11.034,     5.075,     2.360,     1.714,     1.767,     1.789,     1.568,     1.286,     0.574,     0.358,     0.918,     1.160,     0.586,     0.302,     0.127,     0.140,     0.030,     0.093,     0.067,     0.226,     0.237,     0.213,     0.148,     0.313,     0.206,     0.229,     0.233,     0.113,     0.138,     0.063,     0.163,     0.126,     0.162,     0.171,     0.224,     0.206,     0.217,     0.233,     0.105,     0.195,     0.223,     0.251,     0.141,     0.138,     0.217,     0.064,     0.138,     0.067,     0.229,     0.145,     0.150,     0.281,     0.267,     0.265,     0.175
UP ,    45.626,    38.792,    29.255,    12.893,     6.350,     2.503,     1.562,     2.156,     2.527,     1.697,     1.256,     1.764,     0.635,     0.985,     0.560,     0.986,     0.570,     0.838,     0.709,     0.539,     0.491,     0.596,     0.593,     0.490,     0.496,     0.292,     0.197,     0.327,     0.463,     0.383,     0.141,     0.190,     0.082,     0.099,     0.177,     0.025,     0.207,     0.198,     0.135,     0.397,     0.438,     0.173,     0.268,     0.392,     0.197,     0.189,     0.169,     0.166,     0.187,     0.268,     0.247,     0.288,     0.228,     0.226,     0.459,     0.212,     0.245,     0.105,     0.590
DOWN ,    56.669,    48.473,    30.927,    17.352,    10.222,     7.023,     5.169,     3.963,     2.849,     1.857,     1.455,     1.274,     0.954,     0.353,     0.489,     0.562,     0.451,     0.464,     0.497,     0.227,     0.153,     0.054,     0.074,     0.039,     0.303,     0.203,     0.050,     0.174,     0.222,     0.303,     0.392,     0.202,     0.060,     0.174,     0.201,     0.115,     0.160,     0.158,     0.196,     0.068,     0.152,     0.148,     0.046,     0.120,     0.133,     0.120,     0.221,     0.059,     0.094,     0.090,     0.056,     0.146,     0.116,     0.088,     0.106,     0.123,     0.034,     0.255,     0.165
UP ,    51.614,    45.867,    27.520,    11.969,     6.238,     2.857,     2.343,     2.419,     2.617,     2.230,     1.292,     0.920,     0.601,     0.641,     0.958,     0.905,     0.745,     0.305,     0.114,     0.239,     0.172,     0.257,     0.135,     0.079,     0.025,     0.177,     0.057,     0.044,     0.016,     0.130,     0.109,     0.060,     0.108,     0.144,     0.049,     0.072,     0.039,     0.130,     0.130,     0.279,     0.280,     0.128,     0.193,     0.145,     0.099,     0.140,     0.164,     0.193,     0.179,     0.063,     0.155,     0.047,     0.045,     0.047,     0.196,     0.043,     0.100,     0.254,     0.230
DOWN ,    62.254,    54.552,    36.762,    21.380,    11.918,     7.503,     4.327,     2.985,     2.516,     2.212,     1.677,     1.531,     1.482,     1.018,     0.201,     0.511,     0.715,     0.517,     0.252,     0.278,     0.440,     0.417,     0.043,     0.058,     0.111,     0.112,     0.086,     0.113,     0.258,     0.061,     0.174,     0.223,     0.174,     0.208,     0.093,     0.249,     0.227,     0.165,     0.151,     0.124,     0.079,     0.071,     0.241,     0.119,     0.069,     0.226,     0.138,     0.239,     0.127,     0.144,     0.215,     0.136,     0.067,     0.099,     0.183,     0.128,     0.200,     0.300,     0.124
UP ,    46.987,    27.281,    13.035,     6.259,     6.491,     4.763,     3.387,     1.945,     0.828,     1.438,     0.699,     0.474,     0.504,     0.535,     0.493,     0.487,     0.687,     0.771,     0.708,     0.506,     0.135,     0.297,     0.396,     0.255,     0.085,     0.247,     0.406,     0.468,     0.049,     0.089,     0.388,     0.253,     0.291,     0.115,     0.262,     0.177,     0.185,     0.183,     0.213,     0.114,     0.307,     0.328,     0.178,     0.315,     0.037,     0.054,     0.152,     0.171,     0.217,     0.163,     0.254,     0.255,     0.190,     0.174,     0.221,     0.159,     0.053,     0.241,     0.191
UP ,    31.293,    27.439,    16.698,     9.174,     5.693,     2.902,     1.194,     0.737,     0.456,     0.524,     0.394,     0.282,     0.332,     0.232,     0.694,     0.605,     0.456,     0.349,     0.333,     0.171,     0.155,     0.352,     0.215,     0.334,     0.317,     0.230,     0.186,     0.053,     0.243,     0.106,     0.133,     0.109,     0.095,     0.153,     0.138,     0.136,     0.064,     0.085,     0.054,     0.148,     0.194,     0.109,     0.078,     0.083,     0.193,     0.163,     0.128,     0.116,     0.164,     0.144,     0.243,     0.160,     0.055,     0.210,     0.152,     0.039,     0.130,     0.213,     0.270
DOWN ,    34.746,    38.367,    31.882,    16.417,     8.305,     6.812,     4.965,     1.011,     2.026,     2.467,     1.199,     0.484,     0.806,     0.567,     0.850,     1.369,     1.306,     0.686,     0.650,     0.784,     0.719,     0.741,     0.772,     0.825,     0.649,     0.573,     0.409,     0.311,     0.380,     0.557,     0.765,     0.744,     0.474,     0.448,     0.419,     0.499,     0.556,     0.543,     0.512,     0.553,     0.368,     0.395,     0.325,     0.356,     0.599,     0.559,     0.491,     0.401,     0.355,     0.372,     0.463,     0.512,     0.450,     0.488,     0.485,     0.383,     0.319,     0.246,     0.443
UP ,    38.115,    32.695,    20.660,    13.983,     9.099,     3.960,     2.881,     1.807,     1.671,     1.228,     0.833,     0.999,     0.982,     0.422,     0.074,     0.919,     1.371,     1.000,     0.427,     0.107,     0.015,     0.236,     0.028,     0.258,     0.438,     0.250,     0.215,     0.262,     0.324,     0.150,     0.110,     0.073,     0.312,     0.283,     0.225,     0.302,     0.191,     0.200,     0.055,     0.249,     0.314,     0.218,     0.308,     0.213,     0.202,     0.298,     0.316,     0.259,     0.283,     0.240,     0.295,     0.316,     0.420,     0.319,     0.216,     0.087,     0.171,     0.195,     0.145
DOWN ,    43.851,    38.947,    27.334,    17.029,    10.519,     6.875,     4.347,     2.749,     1.711,     0.943,     0.934,     0.945,     0.900,     0.852,     0.430,     0.533,     0.718,     0.284,     0.171,     0.178,     0.141,     0.391,     0.350,     0.075,     0.127,     0.211,     0.257,     0.132,     0.016,     0.232,     0.240,     0.134,     0.250,     0.134,     0.101,     0.198,     0.352,     0.235,     0.369,     0.299,     0.146,     0.084,     0.115,     0.099,     0.192,     0.051,     0.115,     0.134,     0.115,     0.257,     0.251,     0.237,     0.397,     0.324,     0.284,     0.386,     0.329,     0.202,     0.099
